location_id,month,sales_target,cogs_pct_target,labor_pct_target,guests_target,event_sales_target
solon,2026-01,212800,0.3,0.3,8866,
iowa-city,2026-01,288800,0.3,0.3,12032,
cedar-rapids,2026-01,182400,0.3,0.3,7600,
des-moines,2026-01,243200,0.3,0.3,10132,
omaha,2026-01,167200,0.3,0.3,6966,
prairie-village,2026-01,144400,0.3,0.3,6016,
solon,2026-02,224200,0.3,0.3,9340,
iowa-city,2026-02,304200,0.3,0.3,12674,
cedar-rapids,2026-02,192200,0.3,0.3,8008,
des-moines,2026-02,256200,0.3,0.3,10674,
omaha,2026-02,176000,0.3,0.3,7332,
prairie-village,2026-02,152000,0.3,0.3,6332,
solon,2026-03,248400,0.3,0.3,10350,
iowa-city,2026-03,337000,0.3,0.3,14040,
cedar-rapids,2026-03,212800,0.3,0.3,8866,
des-moines,2026-03,283800,0.3,0.3,11824,
omaha,2026-03,195200,0.3,0.3,8132,
prairie-village,2026-03,168600,0.3,0.3,7024,
solon,2026-04,279000,0.3,0.3,11624,
iowa-city,2026-04,378600,0.3,0.3,15774,
cedar-rapids,2026-04,239200,0.3,0.3,9966,
des-moines,2026-04,318800,0.3,0.3,13282,
omaha,2026-04,219200,0.3,0.3,9132,
prairie-village,2026-04,189400,0.3,0.3,7890,
solon,2026-05,307800,0.3,0.3,12824,
iowa-city,2026-05,417800,0.3,0.3,17408,
cedar-rapids,2026-05,263800,0.3,0.3,10990,
des-moines,2026-05,351800,0.3,0.3,14658,
omaha,2026-05,241800,0.3,0.3,10074,
prairie-village,2026-05,209000,0.3,0.3,8708,
solon,2026-06,327200,0.3,0.3,13632,
iowa-city,2026-06,444200,0.3,0.3,18508,
cedar-rapids,2026-06,280400,0.3,0.3,11682,
des-moines,2026-06,374000,0.3,0.3,15582,
omaha,2026-06,257200,0.3,0.3,10716,
prairie-village,2026-06,222000,0.3,0.3,9250,
solon,2026-07,332000,0.3,0.3,13832,
iowa-city,2026-07,450600,0.3,0.3,18774,
cedar-rapids,2026-07,284600,0.3,0.3,11858,
des-moines,2026-07,379400,0.3,0.3,15808,
omaha,2026-07,260800,0.3,0.3,10866,
prairie-village,2026-07,225200,0.3,0.3,9382,
solon,2026-08,320800,0.3,0.3,13366,
iowa-city,2026-08,435200,0.3,0.3,18132,
cedar-rapids,2026-08,274800,0.3,0.3,11450,
des-moines,2026-08,366600,0.3,0.3,15274,
omaha,2026-08,252000,0.3,0.3,10500,
prairie-village,2026-08,217600,0.3,0.3,9066,
solon,2026-09,296600,0.3,0.3,12358,
iowa-city,2026-09,402400,0.3,0.3,16766,
cedar-rapids,2026-09,254200,0.3,0.3,10590,
des-moines,2026-09,338800,0.3,0.3,14116,
omaha,2026-09,233000,0.3,0.3,9708,
prairie-village,2026-09,201200,0.3,0.3,8382,
solon,2026-10,265800,0.3,0.3,11074,
iowa-city,2026-10,360800,0.3,0.3,15032,
cedar-rapids,2026-10,228000,0.3,0.3,9500,
des-moines,2026-10,303800,0.3,0.3,12658,
omaha,2026-10,209000,0.3,0.3,8708,
prairie-village,2026-10,180400,0.3,0.3,7516,
solon,2026-11,237000,0.3,0.3,9874,
iowa-city,2026-11,321600,0.3,0.3,13400,
cedar-rapids,2026-11,203200,0.3,0.3,8466,
des-moines,2026-11,270800,0.3,0.3,11282,
omaha,2026-11,186200,0.3,0.3,7758,
prairie-village,2026-11,160800,0.3,0.3,6700,
solon,2026-12,217600,0.3,0.3,9066,
iowa-city,2026-12,295200,0.3,0.3,12300,
cedar-rapids,2026-12,186400,0.3,0.3,7766,
des-moines,2026-12,248600,0.3,0.3,10358,
omaha,2026-12,171000,0.3,0.3,7124,
prairie-village,2026-12,147600,0.3,0.3,6150,
